timestamp,open,high,low,close,volume
2020-01-15 12:15:00,163.7550,163.8103,163.7350,163.7930,161516
2020-01-15 12:10:00,163.5750,163.7500,163.5700,163.7450,146115
2020-01-15 12:05:00,163.4600,163.5800,163.4200,163.5700,126226
2020-01-15 12:00:00,163.5100,163.5800,163.3300,163.4500,137112
2020-01-15 11:55:00,163.4901,163.6400,163.4800,163.5000,130369
2020-01-15 11:50:00,163.4500,163.5500,163.3500,163.4947,122643
2020-01-15 11:45:00,163.5034,163.5400,163.4300,163.4500,105504
2020-01-15 11:40:00,163.4850,163.5200,163.4250,163.5050,151416
2020-01-15 11:35:00,163.3750,163.5200,163.3400,163.4900,158411
2020-01-15 11:30:00,163.6250,163.6300,163.3200,163.3700,181100
2020-01-15 11:25:00,163.7850,163.8200,163.6150,163.6250,141917
2020-01-15 11:20:00,163.6941,163.8200,163.6900,163.7850,164166
2020-01-15 11:15:00,163.6652,163.8606,163.6613,163.6952,174408
2020-01-15 11:10:00,163.7100,163.7200,163.5400,163.6650,171113
2020-01-15 11:05:00,163.8116,163.9669,163.6366,163.7216,209753
2020-01-15 11:00:00,163.6900,163.8300,163.6900,163.8050,144376
2020-01-15 10:55:00,163.7500,163.7500,163.6900,163.6934,135657
2020-01-15 10:50:00,163.8300,163.8800,163.7550,163.7550,186222
2020-01-15 10:45:00,163.6250,163.9250,163.5900,163.8350,286951
2020-01-15 10:40:00,163.4900,163.7100,163.4855,163.6266,256780
2020-01-15 10:35:00,163.4850,163.4900,163.3900,163.4800,299068
2020-01-15 10:30:00,163.3100,163.5700,163.2850,163.4900,359907
2020-01-15 10:25:00,163.3795,163.3795,163.2200,163.3000,149029
2020-01-15 10:20:00,163.2400,163.3900,163.2300,163.3821,174725
2020-01-15 10:15:00,163.3600,163.3900,163.2100,163.2450,214269
2020-01-15 10:10:00,163.1882,163.3650,163.1300,163.3450,192855
2020-01-15 10:05:00,163.2800,163.2870,163.1810,163.1812,179935
2020-01-15 10:00:00,163.1200,163.2320,163.0600,163.2300,247096
2020-01-15 09:55:00,163.1900,163.1900,162.9900,163.1200,298461
2020-01-15 09:50:00,163.3450,163.3450,163.0500,163.1550,268390
2020-01-15 09:45:00,163.2250,163.3800,163.2050,163.3100,323214
2020-01-15 09:40:00,163.0000,163.2850,163.0000,163.1900,381090
2020-01-15 09:35:00,162.6300,163.0000,162.5900,162.9400,945941
2020-01-14 16:00:00,162.0100,162.1700,161.9700,162.1700,1174996
2020-01-14 15:55:00,162.0452,162.1977,161.8774,162.0052,946797
2020-01-14 15:50:00,162.2650,162.3550,162.0500,162.0500,234750
2020-01-14 15:45:00,162.1500,162.3400,162.1500,162.2600,205427
2020-01-14 15:40:00,162.2350,162.2400,162.1420,162.1423,183184
2020-01-14 15:35:00,162.1450,162.2600,162.1100,162.2350,193087
2020-01-14 15:30:00,162.3550,162.3950,162.1400,162.1500,204907
2020-01-14 15:25:00,162.2400,162.3986,162.2273,162.3600,160163
2020-01-14 15:20:00,162.2100,162.3100,162.1700,162.2200,153142
2020-01-14 15:15:00,162.3850,162.4500,162.1700,162.2145,229070
2020-01-14 15:10:00,162.4550,162.4900,162.3750,162.3900,141798
2020-01-14 15:05:00,162.5400,162.6100,162.4600,162.4650,117584
2020-01-14 15:00:00,162.5400,162.5450,162.5070,162.5400,119366
2020-01-14 14:55:00,162.6000,162.6288,162.4950,162.5350,133369
2020-01-14 14:50:00,162.7100,162.7200,162.6450,162.6450,121403
2020-01-14 14:45:00,162.7500,162.7600,162.7000,162.7100,162791
2020-01-14 14:40:00,162.8100,162.8300,162.7050,162.7450,194185
2020-01-14 14:35:00,162.7350,162.8800,162.7000,162.8002,204450
2020-01-14 14:30:00,162.5483,162.8100,162.5450,162.7400,243448
2020-01-14 14:25:00,162.4600,162.5700,162.4400,162.5500,191734
2020-01-14 14:20:00,162.5468,162.5850,162.3250,162.4568,274671
2020-01-14 14:15:00,162.6143,162.8677,162.4773,162.5243,338998
2020-01-14 14:10:00,162.5200,162.7700,162.4900,162.6200,272491
2020-01-14 14:05:00,162.7800,162.8099,162.4100,162.5300,309000
2020-01-14 14:00:00,162.9800,163.0000,162.7500,162.7700,171444
2020-01-14 13:55:00,163.1200,163.2000,162.9500,162.9727,146177
2020-01-14 13:50:00,162.9600,163.1700,162.8800,163.1200,244259
2020-01-14 13:45:00,163.1200,163.3000,162.9500,162.9501,548321
2020-01-14 13:40:00,163.5166,163.5550,163.0200,163.0465,556241
2020-01-14 13:35:00,163.3450,163.5300,163.3400,163.5100,120787
2020-01-14 13:30:00,163.3300,163.3650,163.3050,163.3500,84060
2020-01-14 13:25:00,163.2950,163.3785,163.2843,163.3350,81282
2020-01-14 13:20:00,163.2873,163.3600,163.2738,163.2900,94290
2020-01-14 13:15:00,163.3250,163.3250,163.2500,163.2850,144462
